name,team,position,total_points,xP,delta,points_per_90,minutes
Shandon Baptiste,Brentford,MID,1,1.0,0.0,5.0,18
Maxwel Cornet,West Ham,MID,1,2.1,-1.1,90.0,1
Josh Cullen,Burnley,MID,2,0.1,1.9,2.0,90
Cheick Doucouré,Crystal Palace,MID,3,1.6,1.4,3.0,90
Amadou Onana,Everton,MID,2,1.6,0.3999999999999999,2.0,90
Bukayo Saka,Arsenal,MID,10,3.4,6.6,10.0,90
Luke Berry,Luton,MID,1,1.1,-0.10000000000000009,45.0,2
Cheikhou Kouyaté,Nott'm Forest,MID,1,1.1,-0.10000000000000009,90.0,1
Ryan Yates,Nott'm Forest,MID,2,1.1,0.8999999999999999,2.0,90
Philip Billing,Bournemouth,MID,2,2.1,-0.10000000000000009,2.0,90
Diogo Teixeira da Silva,Liverpool,MID,1,3.3,-2.3,1.38,65
James McAtee,Man City,MID,1,2.5,-1.5,90.0,1
Rodrigo Hernandez,Man City,MID,13,3.6,9.4,13.0,90
Kevin De Bruyne,Man City,MID,1,4.9,-3.9000000000000004,4.09,22
Solly March,Brighton,MID,9,2.8,6.2,11.1,73
Declan Rice,Arsenal,MID,2,2.6,-0.6000000000000001,2.0,90
Joe Rothwell,Bournemouth,MID,2,1.6,0.3999999999999999,2.0,90
Vini de Souza Costa,Sheffield Utd,MID,1,0.8,0.19999999999999996,9.0,10
Ben Doak,Liverpool,MID,1,1.5,-0.5,6.92,13
Sander Berge,Burnley,MID,2,0.1,1.9,2.0,90
Mathias Jensen,Brentford,MID,4,2.1,1.9,7.5,48
Elliot Anderson,Newcastle,MID,1,1.5,-0.5,90.0,1
Mykhailo Mudryk,Chelsea,MID,1,1.8,-0.8,10.0,9
Dejan Kulusevski,Spurs,MID,2,2.5,-0.5,2.0,90
Conor Gallagher,Chelsea,MID,2,1.6,0.3999999999999999,2.0,90
Eberechi Eze,Crystal Palace,MID,3,2.8,0.20000000000000018,3.0,90
Julio Enciso,Brighton,MID,1,2.6,-1.6,45.0,2
Hwang Hee-chan,Wolves,MID,1,1.6,-0.6000000000000001,3.33,27
Bruno Guimarães Rodriguez Moura,Newcastle,MID,1,2.7,-1.7000000000000002,1.07,84
Jacob Bruun Larsen,Burnley,MID,1,0.1,0.9,3.1,29
Moussa Diaby,Aston Villa,MID,7,1.8,5.2,7.33,86
Martin Ødegaard,Arsenal,MID,2,3.4,-1.4,2.0,90
Matheus Luiz Nunes,Wolves,MID,2,1.1,0.8999999999999999,2.0,90
Bobby De Cordova-Reid,Fulham,MID,6,2.1,3.9,12.0,45
Tomáš Souček,West Ham,MID,7,1.6,5.4,7.0,90
Cole Palmer,Man City,MID,1,3.1,-2.1,9.0,10
Carlos Henrique Casimiro,Man Utd,MID,3,2.6,0.3999999999999999,3.0,90
Carney Chukwuemeka,Chelsea,MID,1,0.5,0.5,1.12,80
James Maddison,Spurs,MID,9,2.6,6.4,9.0,90
Mohamed Salah,Liverpool,MID,5,4.5,0.5,5.92,76
Josh Brownhill,Burnley,MID,1,0.1,0.9,90.0,1
Jefferson Lerma Solís,Crystal Palace,MID,3,2.1,0.8999999999999999,3.0,90
Saša Lukić,Fulham,MID,3,1.0,2.0,3.0,90
Sandro Tonali,Newcastle,MID,6,2.6,3.4,6.0,90
James Garner,Everton,MID,2,1.6,0.3999999999999999,2.2,82
Tom Cairney,Fulham,MID,1,1.2,-0.19999999999999996,1.58,57
James Milner,Brighton,MID,3,2.1,0.8999999999999999,3.46,78
Nathan Redmond,Burnley,MID,1,0.1,0.9,90.0,1
Oliver Skipp,Spurs,MID,1,1.6,-0.6000000000000001,1.22,74
Jarrod Bowen,West Ham,MID,9,2.5,6.5,9.0,90
Raheem Sterling,Chelsea,MID,2,2.0,0.0,2.25,80
Ryan Christie,Bournemouth,MID,2,1.2,0.8,2.73,66
Jaden Philogene-Bidace,Aston Villa,MID,1,0.5,0.5,30.0,3
Jaidon Anthony,Bournemouth,MID,1,1.6,-0.6000000000000001,1.53,59
